subject-English	題目-Chinese	Answer-English	答案-Chinese	構面	FCB	
There is a consolidated portfolio where all changes can be managed and tracked to the digital platform regardless of the source of the change.	公司已設立統一的管理平台，來收集各單位與數位變革相關的各項進度。	Yes/True、No/False	是、否	變革能力	V	
There are ringfenced teams of designers, engineers, testers, project managers etc. for implementing change in digital.	公司有專責的數位團隊，包括產品經理、程式設計師、系統測試人員以及專案經理等角色，來協助執行數位變革。	Yes/True、No/False	是、否	企業一致化	V	
There is a reliable and repeatable process for commissioning changes on downstream systems within the organisation.	公司內部設有標準作業流程，來管理新數位產品對既有系統的影響。	Yes/True、No/False	是、否	企業一致化	V	
The process for delivering new components that require both business and technology input are well understood and mature.	公司內部的業務端與資訊端已建立成熟的溝通模式、或標準作業流程，來因應數位變革下的各項專案。	Yes/True、No/False	是、否	業務管理	V	
The mobile strategy is regularly reviewed in the context of customer usage, market trends etc.	公司針對數位通路，已定期檢視客戶使用量，並觀察客戶使用行為改變方向。	Yes/True、No/False	是、否	平台策略	V	new add
For internally hosted services, there is consistency with regard to hardware/operating system and a clear future strategy.	公司針對內部自建、自行維運系統，其硬體/作業系統已能因應數位變革需求。	Yes/True、No/False	是、否	管理	V	
There is a common platform where all of the analytical data sets can be combined to develop rich customer insights.	公司已設立360度客戶資料庫，可全面性瞭解單一客戶在行內所有行為。	Yes/True、No/False	是、否	平台策略	V	
User response times and other metrics describing the user experience is captured and tracked over time for trends in customer or software behaviour.	上述360度客戶資料庫，已涵蓋客戶使用經驗等各項資訊(如轉換率、回應率、點閱率、回應時間等)，並分析客戶行為趨勢。 	Yes/True、No/False	是、否	服務品質	V	
Feedback from your production service (functional and non-functional defects, even low priority ones) is systematically and pro-actively fed back to development teams in order to improve the capability of the system.	公司已設立內部溝通平台，針對新導入的各項數位系統，提供員工意見回饋機制。 	Yes/True、No/False	是、否	服務品質	V	
The use of cloud services has been considered and a position with regard to which services will or will not utilise the cloud have been documented.	公司已設定清楚雲端使用策略，並規劃何項系統、哪類服務可使用雲端服務。	Yes/True、No/False	是、否	雲端服務	V	
